who_region,year,indicator_code,avg_value
Eastern Mediterranean,1993,htn_tx_std,20.986363636363635
Eastern Mediterranean,1994,diab_tx_crude,33.76612336363636
Eastern Mediterranean,1994,diab_tx_std,35.5780185
Eastern Mediterranean,1994,htn_ctrl_crude,4.1477272727272725
Eastern Mediterranean,1994,htn_ctrl_std,4.336363636363637
Eastern Mediterranean,1994,htn_tx_crude,19.345454545454547
Eastern Mediterranean,1994,htn_tx_std,21.518181818181816
Eastern Mediterranean,1995,diab_tx_crude,34.04976861363636
Eastern Mediterranean,1995,diab_tx_std,35.993019227272725
Eastern Mediterranean,1995,htn_ctrl_crude,4.247727272727273
Eastern Mediterranean,1995,htn_ctrl_std,4.452272727272727
Eastern Mediterranean,1995,htn_tx_crude,19.78181818181818
Eastern Mediterranean,1995,htn_tx_std,22.09090909090909
Eastern Mediterranean,1996,diab_tx_crude,34.39894640909091
Eastern Mediterranean,1996,diab_tx_std,36.419529181818184
Eastern Mediterranean,1996,htn_ctrl_crude,4.365909090909091
Eastern Mediterranean,1996,htn_ctrl_std,4.6068181818181815
Eastern Mediterranean,1996,htn_tx_crude,20.313636363636363
Eastern Mediterranean,1996,htn_tx_std,22.71136363636364
Eastern Mediterranean,1997,diab_tx_crude,34.78884959090909
Eastern Mediterranean,1997,diab_tx_std,36.857808
Eastern Mediterranean,1997,htn_ctrl_crude,4.534090909090909
Eastern Mediterranean,1997,htn_ctrl_std,4.781818181818182
Eastern Mediterranean,1997,htn_tx_crude,20.879545454545454
Eastern Mediterranean,1997,htn_tx_std,23.375
Eastern Mediterranean,1998,diab_tx_crude,35.195741568181816
Eastern Mediterranean,1998,diab_tx_std,37.30912011363636
Eastern Mediterranean,1998,htn_ctrl_crude,4.738636363636363
Eastern Mediterranean,1998,htn_ctrl_std,5.0
Eastern Mediterranean,1998,htn_tx_crude,21.5
Eastern Mediterranean,1998,htn_tx_std,24.088636363636365
Eastern Mediterranean,1999,diab_tx_crude,35.61709788636364
Eastern Mediterranean,1999,diab_tx_std,37.773753886363636
Eastern Mediterranean,1999,htn_ctrl_crude,4.970454545454546
Eastern Mediterranean,1999,htn_ctrl_std,5.2749999999999995
Eastern Mediterranean,1999,htn_tx_crude,22.188636363636363
Eastern Mediterranean,1999,htn_tx_std,24.86590909090909
Eastern Mediterranean,2000,diab_tx_crude,36.04957713636364
Eastern Mediterranean,2000,diab_tx_std,38.253001136363636
Eastern Mediterranean,2000,htn_ctrl_crude,5.2704545454545455
Eastern Mediterranean,2000,htn_ctrl_std,5.613636363636363
Eastern Mediterranean,2000,htn_tx_crude,22.929545454545455
Eastern Mediterranean,2000,htn_tx_std,25.704545454545453
Eastern Mediterranean,2001,diab_tx_crude,36.49078895454546
Eastern Mediterranean,2001,diab_tx_std,38.74612411363636
Eastern Mediterranean,2001,htn_ctrl_crude,5.631818181818182
Eastern Mediterranean,2001,htn_ctrl_std,6.013636363636365
Eastern Mediterranean,2001,htn_tx_crude,23.738636363636363
Eastern Mediterranean,2001,htn_tx_std,26.629545454545454
Eastern Mediterranean,2002,diab_tx_crude,36.94656934090909
Eastern Mediterranean,2002,diab_tx_std,39.25748631818182
Eastern Mediterranean,2002,htn_ctrl_crude,6.056818181818182
Eastern Mediterranean,2002,htn_ctrl_std,6.488636363636363
Eastern Mediterranean,2002,htn_tx_crude,24.63181818181818
Eastern Mediterranean,2002,htn_tx_std,27.65
Eastern Mediterranean,2003,diab_tx_crude,37.41297218181818
Eastern Mediterranean,2003,diab_tx_std,39.78629963636364
Eastern Mediterranean,2003,htn_ctrl_crude,6.581818181818182
Eastern Mediterranean,2003,htn_ctrl_std,7.072727272727272
Eastern Mediterranean,2003,htn_tx_crude,25.597727272727273
Eastern Mediterranean,2003,htn_tx_std,28.745454545454546
Eastern Mediterranean,2004,diab_tx_crude,37.88349397727273
Eastern Mediterranean,2004,diab_tx_std,40.32246681818182
Eastern Mediterranean,2004,htn_ctrl_crude,7.1863636363636365
Eastern Mediterranean,2004,htn_ctrl_std,7.734090909090909
Eastern Mediterranean,2004,htn_tx_crude,26.622727272727275
Eastern Mediterranean,2004,htn_tx_std,29.91818181818182
Eastern Mediterranean,2005,diab_tx_crude,38.36253275
Eastern Mediterranean,2005,diab_tx_std,40.86104188636364
Eastern Mediterranean,2005,htn_ctrl_crude,7.861363636363635
Eastern Mediterranean,2005,htn_ctrl_std,8.48409090909091
Eastern Mediterranean,2005,htn_tx_crude,27.688636363636363
Eastern Mediterranean,2005,htn_tx_std,31.1
Eastern Mediterranean,2006,diab_tx_crude,38.82667759090909
Eastern Mediterranean,2006,diab_tx_std,41.39577881818182
Eastern Mediterranean,2006,htn_ctrl_crude,8.581818181818182
Eastern Mediterranean,2006,htn_ctrl_std,9.295454545454545
Eastern Mediterranean,2006,htn_tx_crude,28.686363636363637
Eastern Mediterranean,2006,htn_tx_std,32.27045454545455
Eastern Mediterranean,2007,diab_tx_crude,39.257588295454546
Eastern Mediterranean,2007,diab_tx_std,41.92263838636364
Eastern Mediterranean,2007,htn_ctrl_crude,9.318181818181818
Eastern Mediterranean,2007,htn_ctrl_std,10.127272727272727
Eastern Mediterranean,2007,htn_tx_crude,29.645454545454548
Eastern Mediterranean,2007,htn_tx_std,33.38409090909091
Eastern Mediterranean,2008,diab_tx_crude,39.68516636363636
Eastern Mediterranean,2008,diab_tx_std,42.44196397727273
Eastern Mediterranean,2008,htn_ctrl_crude,10.063636363636364
Eastern Mediterranean,2008,htn_ctrl_std,10.970454545454546
Eastern Mediterranean,2008,htn_tx_crude,30.556818181818183
Eastern Mediterranean,2008,htn_tx_std,34.425000000000004
Eastern Mediterranean,2009,diab_tx_crude,40.12140002272727
Eastern Mediterranean,2009,diab_tx_std,42.95328615909091
Eastern Mediterranean,2009,htn_ctrl_crude,10.784090909090908
Eastern Mediterranean,2009,htn_ctrl_std,11.770454545454545
Eastern Mediterranean,2009,htn_tx_crude,31.393181818181816
Eastern Mediterranean,2009,htn_tx_std,35.39090909090909
Eastern Mediterranean,2010,diab_tx_crude,40.55784538636363
Eastern Mediterranean,2010,diab_tx_std,43.45099136363636
Eastern Mediterranean,2010,htn_ctrl_crude,11.495454545454546
Eastern Mediterranean,2010,htn_ctrl_std,12.586363636363636
Eastern Mediterranean,2010,htn_tx_crude,32.18181818181818
Eastern Mediterranean,2010,htn_tx_std,36.279545454545456
Eastern Mediterranean,2011,diab_tx_crude,40.99089263636363
Eastern Mediterranean,2011,diab_tx_std,43.92775420454546
Eastern Mediterranean,2011,htn_ctrl_crude,12.2
Eastern Mediterranean,2011,htn_ctrl_std,13.370454545454544
Eastern Mediterranean,2011,htn_tx_crude,32.91818181818182
Eastern Mediterranean,2011,htn_tx_std,37.08863636363637
Eastern Mediterranean,2012,diab_tx_crude,41.40360090909091
Eastern Mediterranean,2012,diab_tx_std,44.369828250000005
Eastern Mediterranean,2012,htn_ctrl_crude,12.888636363636364
Eastern Mediterranean,2012,htn_ctrl_std,14.145454545454545
Eastern Mediterranean,2012,htn_tx_crude,33.59090909090909
Eastern Mediterranean,2012,htn_tx_std,37.824999999999996
Eastern Mediterranean,2013,diab_tx_crude,41.77836588636364
Eastern Mediterranean,2013,diab_tx_std,44.764329454545454
Eastern Mediterranean,2013,htn_ctrl_crude,13.52727272727273
Eastern Mediterranean,2013,htn_ctrl_std,14.865909090909092
Eastern Mediterranean,2013,htn_tx_crude,34.19318181818182
Eastern Mediterranean,2013,htn_tx_std,38.46363636363637
Eastern Mediterranean,2014,diab_tx_crude,42.10295879545455
Eastern Mediterranean,2014,diab_tx_std,45.10085075
Eastern Mediterranean,2014,htn_ctrl_crude,14.115909090909092
Eastern Mediterranean,2014,htn_ctrl_std,15.518181818181818
Eastern Mediterranean,2014,htn_tx_crude,34.73636363636364
Eastern Mediterranean,2014,htn_tx_std,39.02272727272727
Eastern Mediterranean,2015,diab_tx_crude,42.3681075
Eastern Mediterranean,2015,diab_tx_std,45.37318870454545
Eastern Mediterranean,2015,htn_ctrl_crude,14.661363636363637
Eastern Mediterranean,2015,htn_ctrl_std,16.10909090909091
Eastern Mediterranean,2015,htn_tx_crude,35.23409090909091
Eastern Mediterranean,2015,htn_tx_std,39.53181818181818
Eastern Mediterranean,2016,diab_tx_crude,42.57914295454545
Eastern Mediterranean,2016,diab_tx_std,45.576652386363634
Eastern Mediterranean,2016,htn_ctrl_crude,15.18409090909091
Eastern Mediterranean,2016,htn_ctrl_std,16.661363636363635
Eastern Mediterranean,2016,htn_tx_crude,35.77045454545455
Eastern Mediterranean,2016,htn_tx_std,40.01590909090909
Eastern Mediterranean,2017,diab_tx_crude,42.77438963636364
Eastern Mediterranean,2017,diab_tx_std,45.74721622727273
Eastern Mediterranean,2017,htn_ctrl_crude,15.568181818181818
Eastern Mediterranean,2017,htn_ctrl_std,17.070454545454545
Eastern Mediterranean,2017,htn_tx_crude,36.154545454545456
Eastern Mediterranean,2017,htn_tx_std,40.33409090909091
Eastern Mediterranean,2018,diab_tx_crude,42.98230888636363
Eastern Mediterranean,2018,diab_tx_std,45.92196993181818
Eastern Mediterranean,2018,htn_ctrl_crude,16.10909090909091
Eastern Mediterranean,2018,htn_ctrl_std,17.620454545454546
Eastern Mediterranean,2018,htn_tx_crude,36.586363636363636
Eastern Mediterranean,2018,htn_tx_std,40.69772727272727
Eastern Mediterranean,2019,diab_tx_crude,43.21985047727273
Eastern Mediterranean,2019,diab_tx_std,46.10789847727273
Eastern Mediterranean,2019,htn_ctrl_crude,16.69090909090909
Eastern Mediterranean,2019,htn_ctrl_std,18.21590909090909
Eastern Mediterranean,2019,htn_tx_crude,37.029545454545456
Eastern Mediterranean,2019,htn_tx_std,41.050000000000004
Eastern Mediterranean,2020,diab_tx_crude,43.49388227272727
Eastern Mediterranean,2020,diab_tx_std,46.30064881818182
Eastern Mediterranean,2021,diab_tx_crude,43.686147522727275
Eastern Mediterranean,2021,diab_tx_std,46.49776756818182
Eastern Mediterranean,2022,diab_tx_crude,43.83755827272727
Eastern Mediterranean,2022,diab_tx_std,46.69175147727273
European,1990,diab_tx_crude,34.406127424509805
European,1990,diab_tx_std,34.03861831470588
European,1990,htn_ctrl_crude,5.200980392156863
European,1990,htn_ctrl_std,5.253921568627451
European,1990,htn_tx_crude,26.647058823529413
European,1990,htn_tx_std,25.90686274509804
European,1991,diab_tx_crude,34.87559583431373
European,1991,diab_tx_std,34.496686645098045
European,1991,htn_ctrl_crude,5.398039215686275
European,1991,htn_ctrl_std,5.452941176470588
European,1991,htn_tx_crude,27.508823529411767
European,1991,htn_tx_std,26.758823529411767
European,1992,diab_tx_crude,35.37347246078431
European,1992,diab_tx_std,34.97611566960784
European,1992,htn_ctrl_crude,5.633333333333334
European,1992,htn_ctrl_std,5.686274509803922
European,1992,htn_tx_crude,28.402941176470588
European,1992,htn_tx_std,27.650000000000002
European,1993,diab_tx_crude,35.893133351960785
European,1993,diab_tx_std,35.476437890196074
European,1993,htn_ctrl_crude,5.934313725490195
European,1993,htn_ctrl_std,5.973529411764705
European,1993,htn_tx_crude,29.359803921568627
European,1993,htn_tx_std,28.58823529411765
European,1994,diab_tx_crude,36.43019153137255
European,1994,diab_tx_std,35.9977619372549
European,1994,htn_ctrl_crude,6.301960784313725
European,1994,htn_ctrl_std,6.334313725490197
European,1994,htn_tx_crude,30.400000000000002
European,1994,htn_tx_std,29.58137254901961
European,1995,diab_tx_crude,36.991333867647064
European,1995,diab_tx_std,36.54374929509804
European,1995,htn_ctrl_crude,6.748039215686274
European,1995,htn_ctrl_std,6.771568627450981
European,1995,htn_tx_crude,31.50980392156863
European,1995,htn_tx_std,30.62156862745098
European,1996,diab_tx_crude,37.5857459127451
European,1996,diab_tx_std,37.11655597843137
European,1996,htn_ctrl_crude,7.259803921568627
European,1996,htn_ctrl_std,7.2745098039215685
European,1996,htn_tx_crude,32.64509803921569
European,1996,htn_tx_std,31.699019607843137
European,1997,diab_tx_crude,38.212873200000004
European,1997,diab_tx_std,37.71560979901961
European,1997,htn_ctrl_crude,7.830392156862746
European,1997,htn_ctrl_std,7.836274509803921
European,1997,htn_tx_crude,33.84313725490196
European,1997,htn_tx_std,32.8156862745098
European,1998,diab_tx_crude,38.86270330882353
European,1998,diab_tx_std,38.33982691666667
European,1998,htn_ctrl_crude,8.46078431372549
European,1998,htn_ctrl_std,8.445098039215686
European,1998,htn_tx_crude,35.06372549019608
European,1998,htn_tx_std,33.94705882352941
European,1999,diab_tx_crude,39.53404380294118
European,1999,diab_tx_std,38.99058670392157
European,1999,htn_ctrl_crude,9.129411764705884
European,1999,htn_ctrl_std,9.1
European,1999,htn_tx_crude,36.293137254901964
European,1999,htn_tx_std,35.09803921568628
European,2000,diab_tx_crude,40.22922369705882
European,2000,diab_tx_std,39.66388012745098
European,2000,htn_ctrl_crude,9.850980392156861
European,2000,htn_ctrl_std,9.797058823529412
European,2000,htn_tx_crude,37.54019607843137
European,2000,htn_tx_std,36.26470588235294
European,2001,diab_tx_crude,40.957589365686275
European,2001,diab_tx_std,40.36063064705883
European,2001,htn_ctrl_crude,10.627450980392156
European,2001,htn_ctrl_std,10.556862745098039
European,2001,htn_tx_crude,38.78921568627451
European,2001,htn_tx_std,37.46568627450981
European,2002,diab_tx_crude,41.714773164705875
European,2002,diab_tx_std,41.0803539372549
European,2002,htn_ctrl_crude,11.47549019607843
European,2002,htn_ctrl_std,11.380392156862746
European,2002,htn_tx_crude,40.05490196078431
European,2002,htn_tx_std,38.693137254901956
European,2003,diab_tx_crude,42.48877056372549
European,2003,diab_tx_std,41.820964366666665
European,2003,htn_ctrl_crude,12.395098039215686
European,2003,htn_ctrl_std,12.27843137254902
European,2003,htn_tx_crude,41.34019607843137
European,2003,htn_tx_std,39.93333333333333
European,2004,diab_tx_crude,43.26948910196079
European,2004,diab_tx_std,42.573287426470586
European,2004,htn_ctrl_crude,13.392156862745098
European,2004,htn_ctrl_std,13.242156862745098
European,2004,htn_tx_crude,42.63235294117647
European,2004,htn_tx_std,41.16960784313726
European,2005,diab_tx_crude,44.05547973431372
European,2005,diab_tx_std,43.33501208235294
European,2005,htn_ctrl_crude,14.427450980392155
European,2005,htn_ctrl_std,14.246078431372547
European,2005,htn_tx_crude,43.88333333333334
European,2005,htn_tx_std,42.37058823529412
European,2006,diab_tx_crude,44.845239780392156
European,2006,diab_tx_std,44.099042649999994
European,2006,htn_ctrl_crude,15.477450980392158
European,2006,htn_ctrl_std,15.253921568627453
European,2006,htn_tx_crude,45.05490196078432
European,2006,htn_tx_std,43.489215686274505
European,2007,diab_tx_crude,45.646894042156866
European,2007,diab_tx_std,44.86714378627451
European,2007,htn_ctrl_crude,16.500980392156862
European,2007,htn_ctrl_std,16.242156862745098
European,2007,htn_tx_crude,46.1421568627451
European,2007,htn_tx_std,44.516666666666666
European,2008,diab_tx_crude,46.45937724705882
European,2008,diab_tx_std,45.63998394215686
European,2008,htn_ctrl_crude,17.483333333333334
European,2008,htn_ctrl_std,17.188235294117646
European,2008,htn_tx_crude,47.146078431372544
European,2008,htn_tx_std,45.44705882352942
European,2009,diab_tx_crude,47.29090896470588
European,2009,diab_tx_std,46.42132741176471
European,2009,htn_ctrl_crude,18.419607843137253
European,2009,htn_ctrl_std,18.073529411764707
European,2009,htn_tx_crude,48.068627450980394
European,2009,htn_tx_std,46.28431372549019
European,2010,diab_tx_crude,48.136843297058824
European,2010,diab_tx_std,47.2091630245098
European,2010,htn_ctrl_crude,19.327450980392157
European,2010,htn_ctrl_std,18.937254901960785
European,2010,htn_tx_crude,48.92843137254902
European,2010,htn_tx_std,47.05098039215686
European,2011,diab_tx_crude,48.99161900196078
European,2011,diab_tx_std,48.00031090294117
European,2011,htn_ctrl_crude,20.189215686274512
European,2011,htn_ctrl_std,19.751960784313727
European,2011,htn_tx_crude,49.69607843137255
European,2011,htn_tx_std,47.741176470588236
European,2012,diab_tx_crude,49.85128090882353
European,2012,diab_tx_std,48.78863875784314
European,2012,htn_ctrl_crude,21.018627450980393
European,2012,htn_ctrl_std,20.530392156862746
European,2012,htn_tx_crude,50.40980392156863
European,2012,htn_tx_std,48.34705882352941
European,2013,diab_tx_crude,50.70597761764706
European,2013,diab_tx_std,49.566616000980396
European,2013,htn_ctrl_crude,21.797058823529415
European,2013,htn_ctrl_std,21.254901960784313
European,2013,htn_tx_crude,51.030392156862746
European,2013,htn_tx_std,48.87058823529412
European,2014,diab_tx_crude,51.55257127254902
European,2014,diab_tx_std,50.33050610686275
European,2014,htn_ctrl_crude,22.519607843137255
European,2014,htn_ctrl_std,21.922549019607843
European,2014,htn_tx_crude,51.588235294117645
European,2014,htn_tx_std,49.32254901960784
European,2015,diab_tx_crude,52.38162058137255
European,2015,diab_tx_std,51.075594710784316
European,2015,htn_ctrl_crude,23.192156862745097
European,2015,htn_ctrl_std,22.528431372549022
European,2015,htn_tx_crude,52.103921568627456
European,2015,htn_tx_std,49.70490196078431
European,2016,diab_tx_crude,53.186714913725496
European,2016,diab_tx_std,51.7973464882353
European,2016,htn_ctrl_crude,23.834313725490194
European,2016,htn_ctrl_std,23.11764705882353
European,2016,htn_tx_crude,52.561764705882354
European,2016,htn_tx_std,50.0735294117647
European,2017,diab_tx_crude,53.96737869509804
European,2017,diab_tx_std,52.494024270588234
European,2017,htn_ctrl_crude,24.426470588235293
European,2017,htn_ctrl_std,23.648039215686275
European,2017,htn_tx_crude,52.95294117647059
European,2017,htn_tx_std,50.36372549019608
European,2018,diab_tx_crude,54.72544272745098
European,2018,diab_tx_std,53.16697771862745
European,2018,htn_ctrl_crude,25.071568627450983
European,2018,htn_ctrl_std,24.230392156862745
European,2018,htn_tx_crude,53.36078431372549
European,2018,htn_tx_std,50.660784313725486
European,2019,diab_tx_crude,55.467158146078425
European,2019,diab_tx_std,53.82154176666667
European,2019,htn_ctrl_crude,25.75980392156863
European,2019,htn_ctrl_std,24.850980392156863
European,2019,htn_tx_crude,53.77058823529412
European,2019,htn_tx_std,50.94607843137255
European,2020,diab_tx_crude,56.18969901862745
European,2020,diab_tx_std,54.4618795882353
European,2021,diab_tx_crude,56.88738730882353
European,2021,diab_tx_std,55.087821088235295
European,2022,diab_tx_crude,57.567011519607846
European,2022,diab_tx_std,55.696513411764705
South-East Asia,1990,diab_tx_crude,23.466221400000002
South-East Asia,1990,diab_tx_std,23.87413345
South-East Asia,1990,htn_ctrl_crude,3.425
